id,district_name,yield
260,Dewas,3.82
261,Dhar,4.73
262,Dindori,2.59
263,Guna,4.29
264,Gwalior,3.6
265,Harda,5.28
266,Hoshangabad,5.14
267,Indore,4.81
268,Jabalpur,3.92
269,Jhabua,3.23
270,Katni,3.81
271,Khandwa,2.85
272,Khargone,4.27
273,Mandla,2.31
274,Mandsaur,3.78
275,Morena,4.25
276,Narsinghpur,4.13
277,Neemuch,4.15
278,Niwari,2.82
279,Panna,2.82
280,Raisen,3.35
281,Rajgarh,3.38
282,Ratlam,4.68
283,Rewa,2.86
284,Sagar,2.77
285,Satna,2.71
286,Sehore,3.44
287,Seoni,4.13
288,Shahdol,2.09
289,Shajapur,3.28
290,Sheopur,4.38
291,Shivpuri,3.31
292,Sidhi,2.53
293,Singrauli,4.06
294,Tikamgarh,3.0
295,Ujjain,3.59
296,Umaria,2.17
297,Vidisha,3.41
298,Ahilyanagar,2.23
299,Akola,1.75
300,Amravati,1.6
301,Beed,2.14
302,Bhandara,1.36
303,Buldhana,1.88
304,Chandrapur,1.52
305,Chhatrapati Sambhajinagar,1.57
306,Dharashiv,1.55
307,Dhule,1.65
308,Gadchiroli,1.32
309,Gondia,1.12
310,Hingoli,1.71
311,Jalgaon,2.09
312,Jalna,2.04
313,Kolhapur,2.91
314,Latur,1.36
315,Nagpur,1.91
316,Nanded,1.4
317,Nandurbar,2.62
318,Nashik,2.55
319,Palghar,2.01
320,Parbhani,1.84
321,Pune,2.44
322,Sangli,2.26
323,Satara,2.34
324,Solapur,1.56
325,Wardha,1.65
326,Washim,2.35
327,Yavatmal,1.01
328,North garo hills,0.95
329,South west garo hills,1.87
330,West garo hills,1.85
331,Chumoukedima,1.96
332,Dimapur,1.98
333,Kiphire,1.85
334,Kohima,1.73
335,Longleng,1.59
336,Mokokchung,1.87
337,Mon,1.7
338,Noklak,1.83
339,Nuiland,1.96
340,Peren,1.81
341,Phek,1.74
342,Shamator,1.73
343,Tseminyu,1.68
344,Tuensang,1.74
345,Wokha,1.97
346,Zunheboto,1.96
347,Amritsar,4.79
348,Barnala,5.06
349,Bathinda,4.95
350,Faridkot,4.38
351,Fatehgarh sahib,4.79
352,Fazilka,4.63
353,Firozepur,4.8
354,Gurdaspur,4.43
355,Hoshiarpur,4.03
356,Jalandhar,4.35
357,Kapurthala,4.46
358,Ludhiana,4.59
359,Malerkotla,4.96
360,Mansa,5.0
361,Moga,4.75
362,Muktsar,4.69
363,Nawanshahr,4.95
364,Pathankot,4.0
365,Patiala,4.91
366,Rupnagar,4.51
367,S.a.s nagar,4.09
368,Sangrur,5.27
369,Tarn taran,4.67
370,Ajmer,3.24
371,Alwar,4.45
372,Banswara,2.5
373,Baran,4.41
374,Barmer,1.79
375,Bharatpur,4.45
376,Bhilwara,3.64
377,Bikaner,2.53
378,Bundi,4.5
379,Chittorgarh,4.48
380,Churu,2.39
381,Dausa,4.2
382,Dholpur,4.68
383,Dungarpur,2.19
384,Ganganagar,4.39
385,Hanumangarh,4.58
386,Jaipur,3.68
387,Jaisalmer,1.6
388,Jalore,2.18
389,Jhalawar,4.06
390,Jhunjhunu,3.1
391,Jodhpur,2.27
392,Karauli,4.52
393,Kota,4.5
394,Nagaur,2.72
395,Pali,2.82
396,Pratapgarh,4.03
397,Rajsamand,3.22
398,Sawai madhopur,3.67
399,Sikar,3.36
400,Sirohi,3.19
401,Tonk,3.98
402,Udaipur,2.47
403,Gangtok,1.14
404,Pakyong,1.18
405,Adilabad,2.07
406,Jagitial,2.0
407,Jangoan,2.0
408,Jayashankar,2.0
409,Kamareddy,1.63
410,Komaram bheem asifabad,2.32
411,Mahbubnagar,2.0
412,Mancherial,2.0
413,Medak,2.08
414,Medchal,2.0
415,Nagarkurnool,2.0
416,Nalgonda,2.0
417,Nirmal,2.2
418,Nizamabad,2.08
419,Rajanna,2.06
420,Rangareddi,2.14
421,Sangareddy,2.07
422,Siddipet,2.0
423,Vikarabad,2.07
424,Warangal urban,2.0
425,Gomati,2.0
426,Khowai,2.0
427,Sepahijala,2.14
428,South tripura,2.0
429,West tripura,2.0
430,Agra,4.22
431,Aligarh,4.2
432,Allahabad,2.3
433,Ambedkar nagar,3.4
434,Amethi,2.95
435,Amroha,4.11
436,Auraiya,4.17
437,Azamgarh,3.59
438,Baghpat,4.54
439,Bahraich,3.24
440,Ballia,3.48
441,Balrampur,3.05
442,Banda,3.28
443,Barabanki,3.79
444,Bareilly,4.07
445,Basti,3.42
446,Bijnor,3.79
447,Budaun,4.24
448,Bulandshahr,4.29
449,Chandauli,3.18
450,Chitrakoot,3.14
451,Deoria,3.68
452,Etah,4.14
453,Etawah,4.05
454,Faizabad,3.17
455,Farrukhabad,4.14
456,Fatehpur,3.76
457,Firozabad,4.23
458,Gautam buddha nagar,4.06
459,Ghaziabad,3.98
460,Ghazipur,3.6
461,Gonda,3.19
462,Gorakhpur,3.78
463,Hamirpur,3.22
464,Hapur,4.24
465,Hardoi,3.91
466,Hathras,4.03
467,Jalaun,3.58
468,Jaunpur,3.99
469,Jhansi,3.43
470,Kannauj,3.99
471,Kanpur dehat,4.04
472,Kanpur nagar,3.92
473,Kasganj,4.14
474,Kaushambi,3.65
475,Kheri,4.12
476,Kushi nagar,3.7
477,Lalitpur,3.65
478,Lucknow,3.5
479,Maharajganj,3.69
480,Mahoba,3.94
481,Mainpuri,4.01
482,Mathura,3.58
483,Mau,3.43
484,Meerut,4.28
485,Mirzapur,3.34
486,Moradabad,4.18
487,Muzaffarnagar,4.4
488,Pilibhit,4.24
489,Pratapgarh,3.37
490,Rae bareli,3.49
491,Rampur,4.12
492,Saharanpur,4.17
493,Sambhal,4.11
494,Sant kabeer nagar,4.04
495,Sant ravidas nagar,2.8
496,Shahjahanpur,4.35
497,Shamli,4.89
498,Shravasti,3.35
499,Siddharth nagar,4.0
500,Sitapur,3.78
501,Sonbhadra,2.85
502,Sultanpur,3.86
503,Unnao,3.5
504,Varanasi,2.45
505,Almora,1.35
506,Bageshwar,1.39
507,Chamoli,1.76
508,Champawat,1.98
509,Dehradun,2.72
